igre,disciplina,mesto,ime,drzava,rezultat 
Los angeles 1984,long jump men,9,Yusuf Alli,NGR,7.78
Los angeles 1984,long jump men,10,Antonio Corgos Cervantes,ESP,7.69
Los angeles 1984,long jump men,11,Michael Keith Mcrae,USA,7.63
Los angeles 1984,long jump men,12,Jubobosaye Kio,NGR,7.57
Los angeles 1984,marathon men,1,Carlos Lopes,POR,2:09:21
Los angeles 1984,marathon men,2,John Treacy,IRL,2:09:56
Los angeles 1984,marathon men,3,Charles Spedding,GBR,2:09:58
Los angeles 1984,marathon men,4,Takeshi So,JPN,2:10:55
Los angeles 1984,marathon men,5,Rob De Castella,AUS,2:11:09
Los angeles 1984,marathon men,6,Juma Ikangaa 1,TAN,2:11:10
Los angeles 1984,marathon men,7,Joseph Nzau,KEN,2:11:28
Los angeles 1984,marathon men,8,Djama Robleh,DJI,2:11:39
Los angeles 1984,marathon men,9,Jeremy Kiernan,IRL,2:12:20
Los angeles 1984,marathon men,10,Rodney Dixon,NZL,2:12:57
Los angeles 1984,marathon men,11,Peter Dickson Pfitzinger,USA,2:13:53
Los angeles 1984,marathon men,12,Hugh Jones,GBR,2:13:57
Los angeles 1984,marathon men,13,Jorge Gonzalez 1,PUR,2:14:00
Los angeles 1984,marathon men,14,Toshihiko Seko,JPN,2:14:13
Los angeles 1984,marathon men,15,Alberto Salazar,USA,2:14:19
Los angeles 1984,marathon men,16,Mehmet Terzi,TUR,2:14:20
Los angeles 1984,marathon men,17,Shigeru So,JPN,2:14:38
Los angeles 1984,marathon men,18,Ralf Salzmann,FRG,2:15:29
Los angeles 1984,marathon men,19,Henrik Jorgensen,DEN,2:15:55
Los angeles 1984,marathon men,20,Hussein Ahmed Salah,DJI,2:15:59
Los angeles 1984,marathon men,21,Agapius Masong,TAN,2:16:25
Los angeles 1984,marathon men,22,Gidamis Shahanga,TAN,2:16:27
Los angeles 1984,marathon men,23,Eloi Schleder,BRA,2:16:35
Los angeles 1984,marathon men,24,Karel Lismont,BEL,2:17:07
Los angeles 1984,marathon men,25,Allan Zackariasen,DEN,2:17:10
Los angeles 1984,marathon men,26,Michael Kousis,GRE,2:17:38
Los angeles 1984,marathon men,27,Pertti Tiainen,FIN,2:17:43
Los angeles 1984,marathon men,28,Alain Lazare,FRA,2:17:52
Los angeles 1984,marathon men,29,Vincent Ruguga,UGA,2:17:54
Los angeles 1984,marathon men,30,Armand Parmentier,BEL,2:18:10
Los angeles 1984,marathon men,31,Cesar Mercado,PUR,2:19:09
Los angeles 1984,marathon men,32,Charmarke Cochine Omar Abdillahi,DJI,2:19:11
Los angeles 1984,marathon men,33,Oyvind Dahl,NOR,2:19:28
Los angeles 1984,marathon men,34,Derek Owen Froude,NZL,2:19:44
Los angeles 1984,marathon men,35,Giovanni D Aleo,ITA,2:20:12
Los angeles 1984,marathon men,36,Jesus Herrera,MEX,2:20:33
Los angeles 1984,marathon men,37,Hong Yul Lee,KOR,2:20:56
Los angeles 1984,marathon men,38,Juan Camacho,BOL,2:21:04
Los angeles 1984,marathon men,39,Cor Vriend,NED,2:21:07
Los angeles 1984,marathon men,40,France Ntaole,LES,2:21:09
Los angeles 1984,marathon men,41,Johan Geirnaert,BEL,2:22:00
Los angeles 1984,marathon men,42,Jacques Boxberger,FRA,2:22:38
Los angeles 1984,marathon men,43,Marco Marchei,ITA,2:22:43
Los angeles 1984,marathon men,44,Arthur Boileau,CAN,2:22:45
Los angeles 1984,marathon men,45,Samuel Hlawe,SWZ,2:22:51
Los angeles 1984,marathon men,46,Baikuntha Manandhar,NEP,2:22:51
Los angeles 1984,marathon men,47,Ahmed Mohamed Ismail,SOM,2:23:27
Los angeles 1984,marathon men,48,Hong Nak Chae,KOR,2:23:33
Los angeles 1984,marathon men,49,Joseph Maisiba Otieno,KEN,2:24:19
Los angeles 1984,marathon men,50,Bruno Lafranchi,SUI,2:24:38
Los angeles 1984,marathon men,51,Richard Hooper,IRL,2:24:41
Los angeles 1984,marathon men,52,Derrick Adamson,JAM,2:25:02
Los angeles 1984,marathon men,53,Claudio Caban,PUR,2:27:16
Los angeles 1984,marathon men,54,Marc Agosta,LUX,2:27:41
Los angeles 1984,marathon men,55,Wilson Theleso,BOT,2:29:20
Los angeles 1984,marathon men,56,Alejandro Silva 2,CHI,2:29:53
Los angeles 1984,marathon men,57,Chang Ming Chen,TPE,2:29:57
Los angeles 1984,marathon men,58,Won Sick Kim,KOR,2:30:57
Los angeles 1984,marathon men,59,Ruben Aguilar,ARG,2:31:18
Los angeles 1984,marathon men,60,Shemtov Sabag,ISR,2:31:34
Los angeles 1984,marathon men,61,Vincent Rakabaele,LES,2:32:15
Los angeles 1984,marathon men,62,Marios Kassianidis,CYP,2:32:51
Los angeles 1984,marathon men,63,Arjun Pandit,NEP,2:32:53
Los angeles 1984,marathon men,64,Ismaiel Mahmoud,JOR,2:33:30
Los angeles 1984,marathon men,65,Alain Bordeleau,CAN,2:34:27
Los angeles 1984,marathon men,66,Tau John Tokwepota,PNG,2:36:36
Los angeles 1984,marathon men,67,Patrick Nyambariro Nhauro,ZIM,2:37:18
Los angeles 1984,marathon men,68,Kimurgor Ngeny,KEN,2:37:19
Los angeles 1984,marathon men,69,Amira Prasad Yadav,NEP,2:38:10
Los angeles 1984,marathon men,70,Adolphe Ambowode,CAF,2:41:26
Los angeles 1984,marathon men,71,Carlos Avila,HON,2:42:03
Los angeles 1984,marathon men,72,Jules Randrianarivelo,MAD,2:43:05
Los angeles 1984,marathon men,73,Ahmed Abdullahij,SOM,2:44:39
Los angeles 1984,marathon men,74,George Mambosasa,MAW,2:46:14
Los angeles 1984,marathon men,75,Marlon Williams,ISV,2:46:50
Los angeles 1984,marathon men,76,Johnson Mbangiwa,BOT,2:48:12
Los angeles 1984,marathon men,77,Leonardo Illut,PHI,2:49:39
Los angeles 1984,marathon men,78,Dieudonne Lamothe,HAI,2:52:18
Los angeles 1984,marathon men,79,David Edge,CAN,
Los angeles 1984,marathon men,80,Cidalio Caetano,POR,
Los angeles 1984,marathon men,81,Cuevas Santiago De La Parte De Las,ESP,
Los angeles 1984,marathon men,82,Kjell Erik Stahl,SWE,
Los angeles 1984,marathon men,83,Rodolfo Gomez,MEX,
Los angeles 1984,marathon men,84,Gerard Nijboer,NED,
Los angeles 1984,marathon men,85,Geoffrey Smith 1,GBR,
Los angeles 1984,marathon men,86,Stig Roar Huseby,NOR,
Los angeles 1984,marathon men,87,Gerhard Hartmann,AUT,
Los angeles 1984,marathon men,88,Ahmet Altun,TUR,
Los angeles 1984,marathon men,89,Domingo Tibaduiza,COL,
Los angeles 1984,marathon men,90,Ronald Lanzoni,CRC,
Los angeles 1984,marathon men,91,Delfim Moreira,POR,
Los angeles 1984,marathon men,92,Matthews Kambale,MAW,
Los angeles 1984,marathon men,93,Wilson Achia,UGA,
Los angeles 1984,marathon men,94,Mehmet Yurdadon,TUR,
Los angeles 1984,marathon men,95,Omar Aguilar,CHI,
Los angeles 1984,marathon men,96,Cornelis Lambregts,NED,
Los angeles 1984,marathon men,97,John B Tuttle,USA,
Los angeles 1984,marathon men,98,Tommy Lazarus,ZIM,
Los angeles 1984,marathon men,99,Miguel Angel Cruz,MEX,
Los angeles 1984,marathon men,100,Bigboy Josie Matlapeng,BOT,
Los angeles 1984,marathon men,101,Nimley Twegbe,LBR,
Los angeles 1984,marathon men,102,Juan Traspaderne De La Fuente,ESP,
Los angeles 1984,marathon men,103,Filippos Filippou,CYP,
Los angeles 1984,marathon men,104,Tommy Persson,SWE,
Los angeles 1984,marathon men,105,Kumbanza Situ,ZAI,
Los angeles 1984,marathon men,106,Awadh Shaban Al Sameer,OMA,
Los angeles 1984,marathon men,107,Martti Vainio,FIN,
Los angeles 1984,marathon men,108,Alawi Altahir,QAT,
Los angeles 1984,pole vault men,1,Pierre Quinon,FRA,5.75
Los angeles 1984,pole vault men,2,Mike Tully,USA,5.65
Los angeles 1984,pole vault men,3,Earl Bell,USA,5.60
Los angeles 1984,pole vault men,5,Kimmo Pallonen,FIN,5.45
Los angeles 1984,pole vault men,6,Douglas Paul Lytle,USA,5.40
Los angeles 1984,pole vault men,7,Felix Bohni,SUI,5.30
Los angeles 1984,pole vault men,8,Mauro Barella,ITA,5.30
Los angeles 1984,pole vault men,9,Alberto Ruiz Benito,ESP,5.20
Los angeles 1984,pole vault men,10,Wei Min Yang,CHN,5.10
Los angeles 1984,pole vault men,11,Jeffrey Gutteridge,GBR,5.10
Los angeles 1984,pole vault men,12,Tom Hintnaus,BRA,
Los angeles 1984,pole vault men,13,Serge Ferreira,FRA,
Los angeles 1984,pole vault men,14,Tomomi Takahashi,JPN,
Los angeles 1984,shot put men,1,Alessandro Andrei,ITA,21.26
Los angeles 1984,shot put men,2,Michael D Andrea Carter,USA,21.09
Los angeles 1984,shot put men,3,Dave Laut,USA,20.97
Los angeles 1984,shot put men,4,August Wolf,USA,20.93
Los angeles 1984,shot put men,5,Werner Gunthor,SUI,20.28
Los angeles 1984,shot put men,6,Marco Montelatici,ITA,19.98
Los angeles 1984,shot put men,7,Soren Tallhem,SWE,19.81
Los angeles 1984,shot put men,8,Erik De Bruin,NED,19.65
Los angeles 1984,shot put men,9,Aulis Akonniemi,FIN,18.98
Los angeles 1984,shot put men,10,Gert Weil,CHI,18.69
Los angeles 1984,shot put men,11,Bishop Dolegiewicz,CAN,18.39
Los angeles 1984,shot put men,12,Karsten Stolz,FRG,18.31
Los angeles 1984,triple jump men,1,Alfredrick Alphonzo Joyner,USA,17.26
Los angeles 1984,triple jump men,2,Mike Conley,USA,17.18
Los angeles 1984,triple jump men,3,Keith Connor,GBR,16.87
Los angeles 1984,triple jump men,4,Zhen Xian Zou,CHN,16.83
Los angeles 1984,triple jump men,5,Peter Bouschen,FRG,16.77
Los angeles 1984,triple jump men,6,Willie Banks,USA,16.75
Los angeles 1984,triple jump men,7,Ajayi Agbebaku,NGR,16.67
Los angeles 1984,triple jump men,8,Eric Lloyd Mccalla,GBR,16.66
Los angeles 1984,triple jump men,9,Joseph Taiwo,NGR,16.64
Los angeles 1984,triple jump men,10,John Herbert,GBR,16.40
Los angeles 1984,triple jump men,11,Hassan Badra,EGY,16.07
Los angeles 1984,triple jump men,12,Mamadou Diallo 2,SEN,15.99
Los angeles 1984,100m hurdles women,1,Benita Fitzgerald Brown,USA,12.84
Los angeles 1984,100m hurdles women,2,Shirley Strong,GBR,12.88
Los angeles 1984,100m hurdles women,3,Kim Turner,USA,13.06
Los angeles 1984,100m hurdles women,5,Glynis Nunn,AUS,13.20
Los angeles 1984,100m hurdles women,6,Marie Noelle Savigny,FRA,13.28
Los angeles 1984,100m hurdles women,7,Ulrike Denk,FRG,13.32
Los angeles 1984,100m hurdles women,8,Pamela Jo Page,USA,13.40
Los angeles 1984,100m women,1,Evelyn Ashford,USA,10.97
Los angeles 1984,100m women,2,Alice Brown,USA,11.13
Los angeles 1984,100m women,3,Merlene Ottey,JAM,11.16
Los angeles 1984,100m women,4,Jeanette Bolden,USA,11.25
Los angeles 1984,100m women,5,Grace Jackson,JAM,11.39
Los angeles 1984,100m women,6,Angela Bailey,CAN,11.40
Los angeles 1984,100m women,7,Heather Hunte Oakes,GBR,11.43
Los angeles 1984,100m women,8,Angella Taylor,CAN,11.62
Los angeles 1984,1500m women,1,Gabriella Dorio,ITA,4:03.25
Los angeles 1984,1500m women,2,Doina Melinte,ROU,4:03.76
Los angeles 1984,1500m women,3,Maricica Puica,ROU,4:04.15
Los angeles 1984,1500m women,4,Roswitha Gerdes,FRG,4:04.41
Los angeles 1984,1500m women,5,Christine Benning,GBR,4:04.70
Los angeles 1984,1500m women,6,Christina Boxer,GBR,4:05.53
Los angeles 1984,1500m women,7,Brit Mcroberts,CAN,4:05.98
Los angeles 1984,1500m women,8,Ruth Wysocki,USA,4:08.92
Los angeles 1984,1500m women,9,Fita Lovin,ROU,4:09.11
Los angeles 1984,1500m women,10,Deborah Scott Bowker,CAN,4:10.41
Los angeles 1984,1500m women,11,Lynne Macdougall,GBR,4:10.58
Los angeles 1984,1500m women,12,Elisa Elly Van Hulst,NED,4:11.58
Los angeles 1984,200m women,1,Valerie Brisco,USA,21.81
Los angeles 1984,200m women,2,Florence Griffith Joyner,USA,22.04
Los angeles 1984,200m women,3,Merlene Ottey,JAM,22.09
Los angeles 1984,200m women,4,Kathryn Smallwood Cook,GBR,22.10
Los angeles 1984,200m women,5,Grace Jackson,JAM,22.20
Los angeles 1984,200m women,6,Randy Givens,USA,22.36
Los angeles 1984,200m women,7,Rose Aimee Bacoul,FRA,22.78
Los angeles 1984,200m women,8,Liliane Gaschet,FRA,22.86
Los angeles 1984,400m hurdles women,1,Nawal El Moutawakel,MAR,54.61
Los angeles 1984,400m hurdles women,2,Judi Brown,USA,55.20
Los angeles 1984,400m hurdles women,3,Cristina Cojocaru,ROU,55.41
Los angeles 1984,400m hurdles women,4,Usha Rivavulakandi,IND,55.42
Los angeles 1984,400m hurdles women,5,Ann Louise Skoglund,SWE,55.43
Los angeles 1984,400m hurdles women,6,Debbie Flintoff King,AUS,56.21
Los angeles 1984,400m hurdles women,7,Tuija Helander,FIN,56.55
Los angeles 1984,400m hurdles women,8,Sandra Farmer,JAM,57.15
Los angeles 1984,400m women,1,Valerie Brisco,USA,48.83
Los angeles 1984,400m women,2,Chandra Cheeseborough,USA,49.05
Los angeles 1984,400m women,3,Kathryn Smallwood Cook,GBR,49.42
Los angeles 1984,400m women,4,Marita Payne,CAN,49.91
Los angeles 1984,400m women,5,Lillie Leatherwood,USA,50.25
Los angeles 1984,400m women,6,Ute Thimm Finger,FRG,50.37
Los angeles 1984,400m women,7,Charmaine Crooks,CAN,50.45
Los angeles 1984,400m women,8,Ruth Waithera,KEN,51.56
Los angeles 1984,4x100m relay women,1,,USA,41.65
Los angeles 1984,4x100m relay women,2,,CAN,42.77
Los angeles 1984,4x100m relay women,3,,GBR,43.11
Los angeles 1984,4x100m relay women,4,,FRA,43.15
Los angeles 1984,4x100m relay women,5,,FRG,43.57
Los angeles 1984,4x100m relay women,6,,BAH,44.18
Los angeles 1984,4x100m relay women,7,,TTO,44.23
Los angeles 1984,4x100m relay women,8,,JAM,53.54
Los angeles 1984,4x400m relay women,1,,USA,3:18.29
Los angeles 1984,4x400m relay women,2,,CAN,3:21.21
Los angeles 1984,4x400m relay women,3,,FRG,3:22.98
Los angeles 1984,4x400m relay women,4,,GBR,3:25.51
Los angeles 1984,4x400m relay women,5,,JAM,3:27.51
Los angeles 1984,4x400m relay women,6,,ITA,3:30.82
Los angeles 1984,4x400m relay women,7,,IND,3:32.49
Los angeles 1984,4x400m relay women,8,,PUR,
Los angeles 1984,800m women,1,Doina Melinte,ROU,1:57.60
Los angeles 1984,800m women,2,Kim Gallagher,USA,1:58.63
Los angeles 1984,800m women,3,Fita Lovin,ROU,1:58.83
Los angeles 1984,800m women,4,Gabriella Dorio,ITA,1:59.05
Los angeles 1984,800m women,5,Lorraine Baker,GBR,2:00.03
Los angeles 1984,800m women,6,Ruth Wysocki,USA,2:00.34
Los angeles 1984,800m women,7,Margit Klinger,FRG,2:00.65
Los angeles 1984,800m women,8,Caroline O Shea,IRL,2:00.77
Los angeles 1984,discus throw women,1,Ria Stalman,NED,65.36
Los angeles 1984,discus throw women,2,Leslie Deniz,USA,64.86
Los angeles 1984,discus throw women,3,Florenta Craciunescu,ROU,63.64
Los angeles 1984,discus throw women,4,Ulla Lundholm,FIN,62.84
Los angeles 1984,discus throw women,5,Margaret Ritchie,GBR,62.58
Los angeles 1984,discus throw women,6,Ingra Manecke,FRG,58.56
Los angeles 1984,discus throw women,7,Venissa Head,GBR,58.18
Los angeles 1984,discus throw women,8,Gael Martin,AUS,55.88
Los angeles 1984,discus throw women,9,Patricia Walsh,IRL,55.38
Los angeles 1984,discus throw women,10,Laura Denise De Snoo,USA,54.84
Los angeles 1984,discus throw women,11,Yun Xiang Jiao,CHN,53.32
Los angeles 1984,discus throw women,12,Lorna Griffin,USA,50.16
Los angeles 1984,heptathlon women,1,Glynis Nunn,AUS,6390
Los angeles 1984,heptathlon women,2,Jackie Joyner,USA,6385
Los angeles 1984,heptathlon women,3,Sabine Everts,FRG,6363
Los angeles 1984,heptathlon women,4,Cindy Greiner,USA,6281
Los angeles 1984,heptathlon women,5,Judy Simpson,GBR,6280
Los angeles 1984,heptathlon women,6,Sabine Braun,FRG,6236
Los angeles 1984,heptathlon women,7,Tineke Hidding,NED,6147
Los angeles 1984,heptathlon women,8,Kim Hagger,GBR,6127
Los angeles 1984,heptathlon women,9,Birgit Dressel,FRG,6082
Los angeles 1984,heptathlon women,10,Corinne Schneider,SUI,6042
Los angeles 1984,heptathlon women,11,Marjon Wijnsma,NED,6015
Los angeles 1984,heptathlon women,12,Kristine Tannander,SWE,5985
Los angeles 1984,heptathlon women,13,Florence Picaut,FRA,5914
Los angeles 1984,heptathlon women,14,Annette Tannander,SWE,5908
Los angeles 1984,heptathlon women,15,Jill Ross Giffen,CAN,5904
Los angeles 1984,heptathlon women,16,Constance Polman Tuin,CAN,5648
Los angeles 1984,heptathlon women,17,Donna Smellie,CAN,5638
Los angeles 1984,heptathlon women,18,Li Jiau Tsai,TPE,5447
Los angeles 1984,heptathlon women,19,Iammogapi Launa,PNG,5146
Los angeles 1984,heptathlon women,20,Manuela Marxer,LIE,4913
Los angeles 1984,heptathlon women,21,Conceicao Geremias,BRA,4305
Los angeles 1984,heptathlon women,22,Chantal Beaugeant,FRA,3259
Los angeles 1984,heptathlon women,23,Jodi Anderson,USA,2359
Los angeles 1984,high jump women,1,Ulrike Meyfarth,FRG,2.02
Los angeles 1984,high jump women,2,Sara Simeoni,ITA,2.00
Los angeles 1984,high jump women,3,Joni Huntley,USA,1.97
Los angeles 1984,high jump women,4,Maryse Ewanje Epee,FRA,1.94
Los angeles 1984,high jump women,5,Deborah Brill,CAN,1.94
Los angeles 1984,high jump women,6,Vanessa Browne,AUS,1.94
Los angeles 1984,high jump women,7,Dazhen Zheng,CHN,1.91
Los angeles 1984,high jump women,8,Louise Ritter,USA,1.91
Los angeles 1984,high jump women,9,Wen Qin Yang,CHN,1.88
Los angeles 1984,high jump women,11,Heike Henkel Redetzky,FRG,1.85
Los angeles 1984,javelin throw women,1,Tessa Sanderson,GBR,69.56
Los angeles 1984,javelin throw women,2,Tiina Lillak,FIN,69.00
Los angeles 1984,javelin throw women,3,Fatima Whitbread,GBR,67.14
Los angeles 1984,javelin throw women,4,Tuula Laaksalo,FIN,66.40
Los angeles 1984,javelin throw women,5,Trine Hattestad,NOR,64.52
Los angeles 1984,javelin throw women,6,Ingrid Thyssen,FRG,63.26
Los angeles 1984,javelin throw women,7,Beate Peters,FRG,62.34
Los angeles 1984,javelin throw women,8,Karin Kiefer Smith,USA,62.06
Los angeles 1984,javelin throw women,9,Sharon Gibson,GBR,59.66
Los angeles 1984,javelin throw women,10,Cathy Sulinski,USA,58.38
Los angeles 1984,javelin throw women,11,Helena Laine,FIN,58.18
Los angeles 1984,javelin throw women,12,Petra Rivers,AUS,56.20
Los angeles 1984,long jump women,1,Anisoara Cusmir Stanciu,ROU,6.96
Los angeles 1984,long jump women,2,Valeria Vali Ionescu,ROU,6.81
Los angeles 1984,long jump women,3,Sue Hearnshaw,GBR,6.80
Los angeles 1984,long jump women,4,Angela Elizabeth Thacker,USA,6.78
Los angeles 1984,long jump women,5,Jackie Joyner,USA,6.77
Los angeles 1984,long jump women,6,Robyn Lorraway,AUS,6.67
Los angeles 1984,long jump women,7,Glynis Nunn,AUS,6.53
Los angeles 1984,long jump women,8,Shonel Ferguson,BAH,6.44
Los angeles 1984,long jump women,9,Carol Lewis,USA,6.43
Los angeles 1984,long jump women,10,Dorothy Scott,JAM,6.40
Los angeles 1984,long jump women,11,Linda Garden,AUS,6.30
Los angeles 1984,long jump women,12,Snezana Dancetovic,YUG,5.88
Los angeles 1984,marathon women,1,Joan Benoit,USA,2:24:52
Los angeles 1984,marathon women,2,Grete Andersen,NOR,2:26:18
Los angeles 1984,marathon women,3,Rosa Mota,POR,2:26:57
Los angeles 1984,marathon women,4,Ingrid Kristiansen,NOR,2:27:34
Los angeles 1984,marathon women,5,Lorraine Moller,NZL,2:28:34
Los angeles 1984,marathon women,6,Priscilla Welch,GBR,2:28:54
Los angeles 1984,marathon women,7,Lisa Ondieki,AUS,2:29:03
Los angeles 1984,marathon women,8,Sylvia Ruegger,CAN,2:29:09
Los angeles 1984,marathon women,9,Laura Fogli,ITA,2:29:28
Los angeles 1984,marathon women,10,Tuija Toivonen,FIN,2:32:07
Los angeles 1984,marathon women,11,Joyce Smith,GBR,2:32:48
Los angeles 1984,marathon women,12,Alba Milana,ITA,2:33:01
Los angeles 1984,marathon women,13,Dorthe Skovshoved Rasmussen,DEN,2:33:40
Los angeles 1984,marathon women,14,Sarah Louise Rowell,GBR,2:34:08
Los angeles 1984,marathon women,15,Sinikka Keskitalo,FIN,2:35:15
Los angeles 1984,marathon women,16,Charlotte Teske Bernhardt,FRG,2:35:56
Los angeles 1984,marathon women,17,Annemarie Malone,CAN,2:36:33
Los angeles 1984,marathon women,18,Marie Louise Hamrin,SWE,2:36:41
Los angeles 1984,marathon women,19,Nanae Sasaki,JPN,2:37:04
Los angeles 1984,marathon women,20,Paola Moro,ITA,2:37:06
Los angeles 1984,marathon women,21,Ria Van Landeghem,BEL,2:37:11
Los angeles 1984,marathon women,22,Carla Beurskens,NED,2:37:51
Los angeles 1984,marathon women,23,Regina Joyce,IRL,2:37:57
Los angeles 1984,marathon women,24,Marie Christine Deurbroeck,BEL,2:38:01
Los angeles 1984,marathon women,25,Maria Trujillo,MEX,2:38:50
Los angeles 1984,marathon women,26,Bente Moe,NOR,2:40:52
Los angeles 1984,marathon women,27,Mary O Connor,NZL,2:41:22
Los angeles 1984,marathon women,28,Carey May,IRL,2:41:27
Los angeles 1984,marathon women,29,Francine Peeters,BEL,2:42:22
Los angeles 1984,marathon women,30,Zehava Shmueli,ISR,2:42:27
Los angeles 1984,marathon women,31,Lai Chu Ng,HKG,2:42:38
Los angeles 1984,marathon women,32,Monica Regonesi,CHI,2:44:44
Los angeles 1984,marathon women,33,Naydi Nazario,PUR,2:45:49
Los angeles 1984,marathon women,34,Yuko Gordon,HKG,2:46:12
Los angeles 1984,marathon women,35,Ena Guevara,PER,2:46:50
Los angeles 1984,marathon women,36,Julie Brown,USA,2:47:33
Los angeles 1984,marathon women,37,Gabriela Andersen Schiess,SUI,2:48:42
Los angeles 1984,marathon women,38,Rita Borralho,POR,2:50:58
Los angeles 1984,marathon women,39,Maria Ferreira,POR,2:50:58
Los angeles 1984,marathon women,40,Maria Cardenas,MEX,2:51:03
Los angeles 1984,marathon women,41,Maria Ronquillo,MEX,2:51:04
Los angeles 1984,marathon women,42,Nelly Wright,BOL,2:51:35
Los angeles 1984,marathon women,43,Mary Wagaki,KEN,2:52:00
Los angeles 1984,marathon women,44,Eleonora Costa Soares De Mendonca,BRA,2:52:19
Los angeles 1984,marathon women,45,Ifeoma Mbanugo,NGR,
Los angeles 1984,marathon women,46,Akemi Masuda,JPN,
Los angeles 1984,marathon women,47,Jacqueline Gareau,CAN,
Los angeles 1984,marathon women,48,Mary Julie Isphording,USA,
Los angeles 1984,marathon women,49,Anne Audain,NZL,
Los angeles 1984,marathon women,50,Leda Diaz De Cano,HON,
Los angeles 1984,shot put women,1,Claudia Losch,FRG,20.48
Los angeles 1984,shot put women,2,Mihaela Loghin,ROU,20.47
Los angeles 1984,shot put women,3,Gael Martin,AUS,19.19
Los angeles 1984,shot put women,4,Judy Oakes,GBR,18.14
Los angeles 1984,shot put women,5,Meisu Li,CHN,17.96
Los angeles 1984,shot put women,6,Venissa Head,GBR,17.90
Los angeles 1984,shot put women,7,Carol Therese Cady,USA,17.23
Los angeles 1984,shot put women,8,Florenta Craciunescu,ROU,17.23
Los angeles 1984,shot put women,9,Lorna Griffin,USA,17.00
Los angeles 1984,shot put women,10,Yan Qin Yang,CHN,16.97
Los angeles 1984,shot put women,11,Ramona Pagel,USA,16.06
Los angeles 1984,shot put women,12,Carmen Ionesco,CAN,15.25
Los angeles 1984,shot put women,13,Odette Mistoul,GAB,14.59
Moscow 1980,10000m men,1,Miruts Yifter,ETH,27:42.7
Moscow 1980,10000m men,2,Kaarlo Maaninka,FIN,27:44.3
Moscow 1980,10000m men,3,Mohammed Kedir,ETH,27:44.7
Moscow 1980,10000m men,4,Tolossa Kotu,ETH,27:46.5
Moscow 1980,10000m men,5,Lasse Viren,FIN,27:50.5
Moscow 1980,10000m men,6,Jorg Peter 1,GDR,28:05.6
Moscow 1980,10000m men,7,Werner Schildhauer,GDR,28:11.0
Moscow 1980,10000m men,8,Enn Sellik,URS,28:13.8
Moscow 1980,10000m men,9,William Scott 1,AUS,28:15.1
Moscow 1980,10000m men,10,Ilie Floroiu,ROU,28:16.3
Moscow 1980,10000m men,11,Brendan Foster,GBR,28:22.6
Moscow 1980,10000m men,12,Michael Mcleod,GBR,28:40.8
Moscow 1980,10000m men,13,Martti Vainio,FIN,28:46.3
Moscow 1980,10000m men,14,Gerard Tebroke,NED,28:50.1
Moscow 1980,10000m men,15,Antonio Prieto Velasco,ESP,
Moscow 1980,100m men,1,Allan Wells,GBR,10.25
Moscow 1980,100m men,2,Silvio Leonard Sarria,CUB,10.25
Moscow 1980,100m men,3,Peter Petrov,BUL,10.39
Moscow 1980,100m men,4,Aleksandr Aksinin,URS,10.42
Moscow 1980,100m men,5,Osvaldo Lara,CUB,10.43
Moscow 1980,100m men,6,Vladimir Muravyov,URS,10.44
Moscow 1980,100m men,7,Marian Woronin,POL,10.46
Moscow 1980,100m men,8,Herman Panzo,FRA,10.49
Moscow 1980,110m hurdles men,1,Thomas Munkelt,GDR,13.39
Moscow 1980,110m hurdles men,2,Alejandro Casanas,CUB,13.40
Moscow 1980,110m hurdles men,3,Aleksandr Puchkov,URS,13.44
Moscow 1980,110m hurdles men,4,Andrey Prokofyev,URS,13.49
Moscow 1980,110m hurdles men,5,Jan Pusty,POL,13.68
Moscow 1980,110m hurdles men,6,Arto Bryggare,FIN,13.76
Moscow 1980,110m hurdles men,7,Javier Moracho,ESP,13.78
Moscow 1980,110m hurdles men,8,Yuri Chervanev,URS,15.80
Moscow 1980,1500m men,1,Sebastian Coe,GBR,3:38.4
Moscow 1980,1500m men,2,Jurgen Straub,GDR,3:38.8
Moscow 1980,1500m men,3,Steve Ovett,GBR,3:39.0
Moscow 1980,1500m men,4,Andreas Busse,GDR,3:40.2
Moscow 1980,1500m men,5,Vittorio Fontanella,ITA,3:40.4
Moscow 1980,1500m men,6,Josef Plachy,TCH,3:40.7
Moscow 1980,1500m men,7,Jose Marajo,FRA,3:41.5
Moscow 1980,1500m men,8,Steve Cram,GBR,3:42.0
Moscow 1980,1500m men,9,Dragan Zdravkovic,YUG,3:43.1
Moscow 1980,200m men,1,Pietro Mennea,ITA,20.19
Moscow 1980,200m men,2,Allan Wells,GBR,20.21
Moscow 1980,200m men,3,Donald Quarrie,JAM,20.29
Moscow 1980,200m men,4,Silvio Leonard Sarria,CUB,20.30
Moscow 1980,200m men,5,Bernhard Hoff,GDR,20.50
Moscow 1980,200m men,6,Leszek Dunecki,POL,20.68
Moscow 1980,200m men,7,Marian Woronin,POL,20.81
Moscow 1980,200m men,8,Osvaldo Lara,CUB,21.19
Moscow 1980,20km walk men,1,Maurizio Damilano,ITA,1:23:35.5
Moscow 1980,20km walk men,2,Piotr Pochinchuk,URS,1:24:45.4
Moscow 1980,20km walk men,3,Roland Wieser,GDR,1:25:58.2
Moscow 1980,20km walk men,4,Evgeni Evsiukov,URS,1:26:28.3
Moscow 1980,20km walk men,5,Jose Marin,ESP,1:26:45.6
